Filer,VServer,Volume,Aggregate,Size,State,Policy,Junction-Path,Used,Snapshot-Policy,Clone-Volume,Compression-Space-Saved,Dedupe-Space-Saved,Clone-Parent-Name,QTree,QTree-Quota,QTree-Used,Space-Needed,Space-Alloc-Needed,CIFS,Owner,EMT-2,BU,Site:Path
noiclapa01-cls-mgt,vs0,il_rels_all,noiclapa01_s2_SATA0,4915GB,online,default,/avs/il_rels_all,4688GB,none,false,0GB,4922GB,-,-,-,-,9610GB,-4695GB,-,-,-,-,noida:/servers/il_data
noiclapa01-cls-mgt,vs0,import,noiclapa01_p6_SAS0,225GB,online,default,/p4/p4Cmnd/import,0GB,none,false,0GB,0GB,-,-,-,-,0GB,225GB,-,-,-,-,noida:/vols/import
noiclapa01-cls-mgt,vs0,inciccm_v11,noiclapa01_p1_SAS0,500GB,online,cic,/cic/inciccm_v11,139GB,none,false,0GB,162GB,-,-,-,-,301GB,199GB,true,-,-,-,noida:/grid/cic/IC5.10.41
noiclapa01-cls-mgt,vs0,inciccm_v41,noiclapa01_s1_SATA0,1157GB,online,cic,/cic/inciccm_v41,1044GB,none,false,0GB,1627GB,-,-,-,-,2671GB,-1514GB,-,-,-,-,noida:/grid/cic/BH
noiclapa01-cls-mgt,vs0,incicpv_ifx,noiclapa01_p2_SAS0,120GB,online,default,/vol/incicpv_ifx,23GB,none,false,0GB,0GB,-,-,-,-,23GB,97GB,-,-,-,-,noida:/servers/incicpv_ifx
noiclapa01-cls-mgt,vs0,incicpv_ifx2,noiclapa01_s1_SATA0,120GB,online,cic,/cic/incicpv_ifx2,95GB,none,false,0GB,0GB,-,-,-,-,95GB,25GB,-,-,-,-,noida:/servers/ifx_960
noiclapa01-cls-mgt,vs0,incicpv_perf,noiclapa01_p8_SAS0,1024GB,online,cic,/cic/incicpv_perf,790GB,none,false,0GB,697GB,-,-,-,-,1487GB,-463GB,-,-,-,-,noida:/servers/incicpv_perf
noiclapa01-cls-mgt,vs0,incicpv_v1,noiclapa01_s1_SATA0,100GB,online,cic,/cic/incicpv_v1,76GB,default,false,0GB,0GB,-,-,-,-,76GB,24GB,-,-,-,-,noida:/servers/incicpv_v1
noiclapa01-cls-mgt,vs0,incicpv_v2,noiclapa01_s1_SATA0,50GB,online,cic,/cic/incicpv_v2,50GB,default,false,0GB,0GB,-,-,-,-,50GB,0GB,true,-,-,-,noida:/servers/incicpv_v2
noiclapa01-cls-mgt,vs0,incicpv_v3,noiclapa01_s1_SATA0,200GB,online,cic,/cic/incicpv_v3,200GB,default,false,0GB,0GB,-,-,-,-,200GB,0GB,-,-,-,-,noida:/servers/incicpv_v3
noiclapa01-cls-mgt,vs0,incicpv_v4,noiclapa01_s1_SATA0,550GB,online,cic,/cic/incicpv_v4,493GB,none,false,0GB,153GB,-,-,-,-,646GB,-96GB,-,-,-,-,noida:/servers/incicpv_v4
noiclapa01-cls-mgt,vs0,incicpv_v5,noiclapa01_p8_SATA0,1226GB,online,cic,/cic/incicpv_v5,259GB,default,false,0GB,1GB,-,-,-,-,260GB,966GB,true,-,-,-,noida:/servers/incicpv_v5
noiclapa01-cls-mgt,vs0,incicpv_v6,noiclapa01_p8_SATA0,12GB,offline,cic,-,-,none,false,-,-,-,-,-,-,-,-,-,-,-,-,-
noiclapa01-cls-mgt,vs0,incicpv_v7,noiclapa01_p8_SATA0,1126GB,online,cic,/cic/incicpv_v7,928GB,it-noida,false,0GB,944GB,-,-,-,-,1872GB,-746GB,-,-,-,-,noida:/servers/incicpv_v7
noiclapa01-cls-mgt,vs0,incicpv_v8,noiclapa01_s1_SATA0,3276GB,online,cic,/cic/incicpv_v8,2471GB,it-noida,false,0GB,0GB,-,-,-,-,2471GB,805GB,-,-,-,-,noida:/servers/incicpv_v8
noiclapa01-cls-mgt,vs0,indago,noiclapa01_s1_SATA0,1024GB,online,avs,/vols/indago,859GB,none,false,0GB,231GB,-,-,-,-,1090GB,-66GB,-,-,-,-,noida:/vols/INDAGO
noiclapa01-cls-mgt,vs0,infosec_vol01,noiclapa01_p8_SAS0,100GB,online,default,/vols/infosec_vol01,14GB,default,false,0GB,0GB,-,-,-,-,14GB,86GB,true,-,-,-,noida:/vols/infosec_vol01
noiclapa01-cls-mgt,vs0,ipg_sdhc,noiclapa01_p2_SAS0,2048GB,online,default,/avs/ipg_sdhc,749GB,none,false,0GB,174GB,-,-,-,-,923GB,1125GB,-,-,-,-,noida:/projects/SDHC
noiclapa01-cls-mgt,vs0,it_home,noiclapa01_p8_SAS0,3260GB,online,default,/it/it_home,3014GB,default,false,0GB,0GB,-,-,-,-,3014GB,246GB,-,-,-,-,noida:/hm/Spreeti
